Fecha,toneladas,dia_semana,dias_desde_festivo,dias_hasta_festivo,mes,trimestre,isla,toneladas_lag_1,toneladas_lag_2,toneladas_lag_3,toneladas_lag_7,toneladas_media_7d,toneladas_media_14d,toneladas_media_30d,toneladas_max_7d,toneladas_min_7d
2024-04-05,47.38916,4,7,26,4,2,TF,24.075844,71.37702,23.271244,23.6039,30.589,35.45884507142857,42.45458166666666,71.37702,0.0
2024-04-06,23.932821,5,8,25,4,2,TF,47.38916,24.075844,71.37702,23.606346,33.986894285714286,35.474381928571425,42.463037533333335,71.37702,0.0
2024-04-07,23.953644,6,9,24,4,2,TF,23.932821,47.38916,24.075844,0.0,34.03353357142857,33.84388128571428,41.68965613333333,71.37702,0.0
2024-04-08,24.054921,0,10,23,4,2,TF,23.953644,23.932821,47.38916,48.188646,37.45548271428572,33.870154285714285,40.916968833333335,71.37702,23.271244
2024-04-09,24.054921,1,11,22,4,2,TF,24.054921,23.953644,23.932821,23.271244,34.00780771428571,32.22162985714286,39.37475913333333,71.37702,23.271244
2024-04-10,47.28529,2,12,21,4,2,TF,24.054921,24.054921,23.953644,71.37702,34.119761571428576,28.9058095,38.605447733333335,71.37702,23.932821
2024-04-11,47.988963,3,13,20,4,2,TF,47.28529,24.054921,24.054921,24.075844,30.678085857142857,30.598628642857143,38.60923593333334,47.38916,23.932821
2024-04-12,24.074622,4,14,19,4,2,TF,47.988963,47.28529,24.054921,47.38916,34.09424571428571,32.34162285714286,38.637766633333335,47.988963,23.932821
2024-04-13,46.5582,5,15,18,4,2,TF,24.074622,47.988963,47.28529,23.932821,30.763597428571423,32.37524585714286,37.86915263333333,47.988963,23.932821
2024-04-14,23.11353,6,16,17,4,2,TF,46.5582,24.074622,47.988963,23.953644,33.99579442857144,34.014664,37.84999123333333,47.988963,23.953644
2024-04-15,48.150466,0,17,16,4,2,TF,23.11353,46.5582,24.074622,24.054921,33.87577814285715,35.665630428571426,37.04934083333333,47.988963,23.11353
2024-04-16,24.056142,1,18,15,4,2,TF,48.150466,23.11353,46.5582,24.054921,37.31799885714286,35.662903285714286,37.0819275,48.150466,23.11353
2024-04-17,48.111063,2,19,14,4,2,TF,24.056142,48.150466,23.11353,47.28529,37.31817328571429,35.718967428571425,36.31141076666666,48.150466,23.11353
2024-04-18,24.075844,3,20,13,4,2,TF,48.111063,24.056142,48.150466,47.988963,37.43614085714286,34.05711335714286,36.35425226666667,48.150466,23.11353
2024-04-19,24.074622,4,21,12,4,2,TF,24.075844,48.111063,24.056142,24.074622,34.019981,34.05711335714286,35.5855976,48.150466,23.11353
2024-04-20,47.051888,5,22,11,4,2,TF,24.074622,24.075844,48.111063,46.5582,34.01998100000001,32.39178921428572,34.81569686666667,48.150466,23.11353
2024-04-21,24.0734,6,23,10,4,2,TF,47.051888,24.074622,24.075844,23.11353,34.09050785714286,34.04315114285715,34.81166426666666,48.150466,23.11353
2024-04-22,47.8632,0,24,9,4,2,TF,24.0734,47.051888,24.074622,48.150466,34.22763214285714,34.051705142857145,34.041722799999995,48.150466,24.056142
2024-04-23,95.188912,1,25,8,4,2,TF,47.8632,24.0734,47.051888,24.056142,34.186594142857146,35.7522965,34.0785018,48.111063,24.056142
2024-04-24,47.16642,2,26,7,4,2,TF,95.188912,47.8632,24.0734,48.111063,44.34841842857144,40.83329585714286,36.46527146666666,95.188912,24.0734
2024-04-25,24.17513,3,110,6,4,2,GC,23.13893,46.221448,23.950188,0.0,29.91748457142857,23.319455214285718,19.1518133,47.05208,0.0
2024-04-25,47.16642,3,27,6,4,2,TF,47.16642,95.188912,47.8632,24.075844,44.21346942857143,40.82480514285714,36.46634336666667,95.188912,24.0734
2024-04-26,0.0,4,111,5,4,2,GC,24.17513,23.13893,46.221448,47.05208,33.37107457142857,23.32913428571429,19.251153166666665,47.05208,23.01549
2024-04-26,47.782644,4,28,5,4,2,TF,47.16642,47.16642,95.188912,24.074622,47.51212314285714,40.766052071428575,35.68934383333333,95.188912,24.0734
2024-04-27,0.0,5,112,4,4,2,GC,0.0,24.17513,23.13893,46.044256,26.649348857142854,23.32913428571429,19.251153166666665,46.221448,0.0
2024-04-27,24.074622,5,29,4,4,2,TF,47.782644,47.16642,47.16642,47.051888,50.89898342857144,42.45948221428571,36.49590456666667,95.188912,24.0734
2024-04-28,46.162319,6,113,3,4,2,GC,0.0,0.0,24.17513,23.01549,20.071598,21.690299714285715,17.810145166666665,46.221448,0.0
2024-04-28,47.23641,6,30,3,4,2,TF,24.074622,47.782644,47.16642,24.0734,47.616516857142855,40.85351235714286,36.51215716666666,95.188912,24.0734
2024-04-29,23.003432,0,114,2,4,2,GC,46.162319,0.0,0.0,23.950188,23.37828785714285,23.340918214285715,18.593756966666668,46.221448,0.0
2024-04-29,23.952422,0,31,2,4,2,TF,47.23641,24.074622,47.782644,47.8632,50.92551828571429,42.57657521428571,37.2999075,95.188912,24.074622
2024-04-30,24.095781,1,115,1,4,2,GC,23.003432,46.162319,0.0,46.221448,23.243037,23.264090785714284,18.59501283333333,46.221448,0.0
2024-04-30,24.054921,1,32,1,4,2,TF,23.952422,47.23641,24.074622,95.188912,47.50969285714286,40.8481435,37.31144336666667,95.188912,23.952422
2024-05-01,23.002705,2,0,0,5,2,GC,24.095781,23.003432,46.162319,23.13893,20.08222742857143,23.347075285714286,19.39820553333333,46.162319,0.0
2024-05-01,24.074622,2,0,0,5,2,TF,24.054921,23.952422,47.23641,47.16642,37.34769414285714,40.848056285714286,38.11327406666667,47.782644,23.952422
2024-05-02,0.0,3,1,28,5,2,GC,23.002705,24.095781,23.003432,24.17513,20.062766714285715,24.990125642857144,19.399197366666662,46.162319,0.0
2024-05-02,24.095546,3,1,28,5,2,TF,24.074622,24.054921,23.952422,47.16642,34.04886585714286,39.131167642857136,37.30947326666667,47.782644,23.952422
2024-05-03,0.0,4,2,27,5,2,GC,0.0,23.002705,24.095781,0.0,16.609176714285713,24.990125642857144,18.628291966666666,46.162319,0.0
2024-05-03,24.094323,4,2,27,5,2,TF,24.095546,24.074622,24.054921,47.782644,30.753026714285717,39.13257492857143,37.33695,47.782644,23.952422
2024-05-04,22.999854,5,3,26,5,2,GC,0.0,0.0,23.002705,0.0,16.609176714285713,21.629262785714285,18.628291966666666,46.162319,0.0
2024-05-04,48.188646,5,3,26,5,2,TF,24.094323,24.095546,24.074622,24.074622,27.36898085714285,39.13398214285714,35.76086010000001,47.23641,23.952422
2024-05-05,47.19,6,4,25,5,2,GC,22.999854,0.0,0.0,46.162319,19.894870142857144,19.98323407142857,18.62969443333333,46.162319,0.0
2024-05-05,24.114024,6,4,25,5,2,TF,48.188646,24.094323,24.095546,47.23641,30.81384142857143,39.215179142857146,36.56462016666666,48.188646,23.952422
2024-05-06,23.036984,0,5,24,5,2,GC,47.19,22.999854,0.0,23.003432,20.041681714285712,21.709984785714287,19.43502343333333,47.19,0.0
2024-05-06,0.0,0,5,24,5,2,TF,24.114024,48.188646,24.094323,23.952422,27.51064342857143,39.21808085714286,35.788782299999994,48.188646,23.952422
2024-05-07,23.00521,1,6,23,5,2,GC,23.036984,47.19,22.999854,24.095781,20.046474857142854,21.644755928571424,20.2029229,47.19,0.0
2024-05-07,0.0,1,6,23,5,2,TF,0.0,24.114024,48.188646,24.054921,24.08886885714286,35.799280857142854,34.9910216,48.188646,0.0
2024-05-08,24.153844,2,7,22,5,2,GC,23.00521,23.036984,47.19,23.002705,19.890679,19.986453214285717,20.20050413333333,47.19,0.0
