Fecha,toneladas,prediccion,error,error_abs
2026-02-14,24.120932,37.58378364199036,-13.462851641990358,13.462851641990358
2026-02-15,24.166898,40.273589533820555,-16.106691533820555,16.106691533820555
2026-02-16,46.564037,66.97471827621796,-20.410681276217957,20.410681276217957
2026-02-17,24.13103,50.556111314043775,-26.425081314043776,26.425081314043776
2026-02-18,12.438717,52.39462354054704,-39.95590654054703,39.95590654054703
2026-02-19,24.250766,38.643404656144334,-14.392638656144335,14.392638656144335
2026-02-20,24.166518,26.907789013325335,-2.741271013325335,2.741271013325335
2026-02-21,24.09366,30.353102855745142,-6.259442855745142,6.259442855745142
2026-02-22,24.193107,30.38763198656028,-6.194524986560278,6.194524986560278
2026-02-23,35.005785,42.17130411898562,-7.165519118985614,7.165519118985614
2026-02-24,24.156646,38.82294728797663,-14.666301287976633,14.666301287976633
2026-02-25,84.973442,28.81760313266954,56.155838867330466,56.155838867330466
2026-02-26,0.0,30.279112477841018,-30.279112477841018,30.279112477841018
2026-02-27,24.046984,33.991655506490254,-9.944671506490256,9.944671506490256
2026-02-28,0.0,22.59356247589769,-22.59356247589769,22.59356247589769
2026-03-01,24.049066,34.39695009194624,-10.347884091946238,10.347884091946238
2026-03-02,36.426071,36.8663845097942,-0.44031350979420125,0.44031350979420125
2026-03-03,24.020469,33.28890887397053,-9.268439873970529,9.268439873970529
2026-03-04,48.292227,41.929356326728104,6.3628706732718925,6.3628706732718925
2026-03-05,24.272145,25.094981768991573,-0.822836768991575,0.822836768991575
2026-03-06,0.0,30.79596268836836,-30.79596268836836,30.79596268836836
2026-03-07,24.139326,29.803264270948798,-5.6639382709487975,5.6639382709487975
2026-03-08,24.118414,23.949460287716484,0.16895371228351763,0.16895371228351763
2026-03-09,24.028566,39.29456676838779,-15.266000768387787,15.266000768387787
2026-03-10,24.007738,38.45486543558235,-14.447127435582349,14.447127435582349
2026-03-11,58.868483999999995,36.52398806725838,22.344495932741616,22.344495932741616
2026-03-12,24.246729,28.731808687291668,-4.48507968729167,4.48507968729167
2026-03-13,24.279066,26.3804141924548,-2.1013481924548003,2.1013481924548003
2026-03-14,24.05681,19.583705005823184,4.473104994176815,4.473104994176815
2026-03-15,24.204633,25.14897167845333,-0.9443386784533274,0.9443386784533274
2026-03-16,84.673187,40.742635821319794,43.930551178680204,43.930551178680204
2026-03-17,44.29477825,31.130904029092346,13.163874220907655,13.163874220907655
2026-03-18,48.145769,42.591240829093564,5.554528170906437,5.554528170906437
2026-03-19,10.13693622,26.283645774015312,-16.14670955401531,16.14670955401531
2026-03-20,24.251367,36.577785455424475,-12.326418455424477,12.326418455424477
2026-03-21,24.091895,19.849231801342246,4.242663198657755,4.242663198657755
2026-03-22,24.060805,27.44484013284032,-3.384035132840321,3.384035132840321
2026-03-23,46.492369,47.63072388106999,-1.1383548810699935,1.1383548810699935
2026-03-24,0.0,37.91126519264604,-37.91126519264604,37.91126519264604
2026-03-25,9.9608466,41.52670983398526,-31.565863233985258,31.565863233985258
2026-03-26,24.227879,34.82010356165966,-10.592224561659656,10.592224561659656
